BUNDLE_ID,BUNDLE_NAME,BUNDLE_TYPE,BUNDLE_DESCRIPTION,BENEFITS,PRICE,BUNDLE_VALIDITY_DAYS,BUNDLE_CATEGORY
6071236,Weekly 2000_25Pc,Voice,Charged_Bundle,[NULL],"2,000",1,Voice_OM
6071483,New Growth_Market Combo_30000_1_zero,Combo,Charged_bundle,[NULL],0,30,Combo
6000533,Weekly 45 min_BTL_Zero,Voice,Zero_rated_bundle,45 Mins 20 Mins Bonus,"2,000",7,Voice_OM
6071280,Kawa_100Pc,Voice,Charged_bundle,10mins,500,1,Voice_OM
6070961,DMP_300,Data,Charged_bundle,300MB,"1,500",1,DMP
6070720,Daily_30MB_Zero,Data,Zero_rated_bundle,30 MB,250,1,Data_OM
3600097,Monthly_350MB_Free,Data,Free_bundle,350,0,30,Data_OM
60079,Private_256Kbps_Speed_APN_PostPaid_Auto,Data,Charged_bundle,209715200,"15,000",30,Data_OM
6300135,HYBRID ADD ON - 300K,Voice,Zero_rated_bundle_Postpaid,0,0,30,HYBRID
6000084,200 SMS,SMS,Charged_bundle,200 SMS,"1,000",7,SMS
60108,Private_50MB_PostPaid_Zero,Data,Zero_rated_bundle,51200,"5,600",30,Data_OM
3600054,Private_250MB_1000SMS,Data,Charged_bundle,250MB 1000 SMS,"24,500",30,Combo
6049072,Special_Data_Bundles_5_Large_Zero,Data,Zero_rated_bundle,8.4 GB,"21,000",30,DMP
6000540,Weekly 1GB_BTL_Zero,Data,Zero_rated_bundle,1024 MB 200MB Bonus,"7,000",7,Data_OM
6081022,CREDIT LIMIT - 345K,Voice,Zero_rated_bundle_Postpaid,[NULL],0,30,Voice_OM
6071470,New Growth_Market Combo_7000_1,Combo,Charged_bundle,[NULL],"7,000",7,Combo
6071148,Voice Allnet Weekly _5000_Zero,Voice,Zero_rated_bundle,90 Mins Allnetworks,"5,000",7,Voice_OM
[NULL],Weekly_5.5GB_Pelatro_25pc,Data,Charged_bundle,[NULL],0,7,Data_OM
6071898,FREE 500MB,Data,Free_bundle,[NULL],0,1,Data_OM
