SubscriberCode,Gender,ElderlySubscriber,HasPartner,HasDependents,SubscriptionLengthMonths,HasPhoneService,HasMultipleLines,InternetServiceType,OnlineSecurityEnabled,OnlineBackupEnabled,DeviceProtectionEnabled,TechSupportEnabled,StreamingTVService,StreamingMoviesService,SubscriptionPlan,UsesPaperlessBilling,PaymentMethodUsed,MonthlyPaymentUGX,TotalPaymentUGX,DroppedService,District,MobileMoneySubscription,RuralSubscriber
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Pay As You Go,Yes,Mobile Money,107460.0,107460.0,No,Wakiso,Yes,No
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,6 Months Contract,No,Cash Payment at Agent,205020.0,6802200.0,Yes,Arua,No,Yes
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Pay As You Go,Yes,Cash Payment at Agent,193860.0,389340.0,Yes,Wakiso,Yes,No
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,6 Months Contract,No,Bank Standing Order,152280.0,6626700.0,No,Wakiso,No,No
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,254520.0,545940.0,Yes,Kampala,Yes,No
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,358740.0,2953800.0,Yes,Wakiso,Yes,No
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Pay As You Go,Yes,Card Payment,320760.0,7017840.0,Yes,Gulu,Yes,Yes
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,107100.0,1086840.0,No,Mbarara,Yes,Yes
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Pay As You Go,Yes,Mobile Money,377280.0,10965780.0,Yes,Mukono,Yes,No
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,6 Months Contract,No,Bank Standing Order,202140.0,12556620.0,Yes,Gulu,Yes,Yes
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Pay As You Go,Yes,Cash Payment at Agent,179820.0,2114820.0,No,Mukono,Yes,No
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Card Payment,68220.0,1176480.0,No,Fort Portal,Yes,Yes
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6 Months Contract,No,Card Payment,361260.0,20451960.0,No,Mukono,Yes,No
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Bank Standing Order,373320.0,18130680.0,Yes,Gulu,Yes,Yes
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Pay As You Go,Yes,Mobile Money,379800.0,9669780.0,No,Fort Portal,Yes,Yes
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,No,Card Payment,407700.0,28422540.0,Yes,Arua,No,Yes
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Cash Payment at Agent,74340.0,3682620.0,Yes,Gulu,Yes,Yes
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,12 Months Contract,No,Bank Standing Order,384120.0,26576100.0,No,Jinja,No,Yes
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Pay As You Go,No,Card Payment,198720.0,1902060.0,Yes,Gulu,Yes,Yes
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Pay As You Go,Yes,Mobile Money,324180.0,6706440.0,No,Fort Portal,No,Yes
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Pay As You Go,Yes,Mobile Money,142740.0,142740.0,Yes,Fort Portal,Yes,Yes
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Bank Standing Order,71280.0,728100.0,No,Mbarara,Yes,Yes
